time,V
148.41,5.14E-01
148.92,5.14E-01
149.43,5.14E-01
149.94,5.14E-01
150.45,5.14E-01
150.96,5.13E-01
151.47,5.13E-01
151.98,5.13E-01
152.49,5.13E-01
153,5.13E-01
153.51,5.13E-01
154.02,5.13E-01
154.53,5.12E-01
155.04,5.12E-01
155.55,5.12E-01
156.06,5.12E-01
156.57,5.12E-01
157.08,5.12E-01
157.59,5.11E-01
158.1,5.11E-01
158.61,5.11E-01
159.12,5.11E-01
159.63,5.11E-01
160.14,5.11E-01
160.65,5.11E-01
161.16,5.10E-01
161.67,5.10E-01
162.18,5.10E-01
162.69,5.10E-01
163.2,5.10E-01
163.71,5.10E-01
164.22,5.09E-01
164.73,5.09E-01
165.24,5.09E-01
165.75,5.09E-01
166.26,5.09E-01
166.77,5.09E-01
167.28,5.09E-01
167.79,5.08E-01
168.3,5.08E-01
168.81,5.08E-01
169.32,5.08E-01
169.83,5.08E-01
170.34,5.08E-01
170.85,5.08E-01
171.36,5.07E-01
171.87,5.07E-01
172.38,5.07E-01
172.89,5.07E-01
173.4,5.07E-01
173.91,5.07E-01
174.42,5.06E-01
174.93,5.06E-01
175.44,5.06E-01
175.95,5.06E-01
176.46,5.06E-01
176.97,5.06E-01
177.48,5.06E-01
177.99,5.05E-01
178.5,5.05E-01
179.01,5.05E-01
179.52,5.05E-01
180.03,5.05E-01
180.54,5.05E-01
181.05,5.05E-01
181.56,5.05E-01
182.07,5.04E-01
182.58,5.04E-01
183.09,5.04E-01
183.6,5.04E-01
184.11,5.04E-01
184.62,5.04E-01
185.13,5.03E-01
185.64,5.03E-01
186.15,5.03E-01
186.66,5.03E-01
187.17,5.03E-01
187.68,5.03E-01
188.19,5.03E-01
188.7,5.02E-01
189.21,5.02E-01
189.72,5.02E-01
190.23,5.02E-01
190.74,5.02E-01
191.25,5.02E-01
191.76,5.02E-01
192.27,5.02E-01
192.78,5.01E-01
193.29,5.01E-01
193.8,5.01E-01
194.31,5.01E-01
194.82,5.01E-01
195.33,5.01E-01
195.84,5.01E-01
196.35,5.00E-01
196.86,5.00E-01
197.37,5.00E-01
197.88,5.00E-01
198.39,5.00E-01
198.9,5.00E-01
199.41,5.00E-01
199.92,4.99E-01
200.43,4.99E-01
200.94,4.99E-01
201.45,4.99E-01
201.96,4.99E-01
202.47,4.99E-01
202.98,4.99E-01
203.49,4.98E-01
204,4.98E-01
204.51,4.98E-01
205.02,4.98E-01
205.53,4.98E-01
206.04,4.98E-01
206.55,4.98E-01
207.06,4.98E-01
207.57,4.97E-01
208.08,4.97E-01
208.59,4.97E-01
209.1,4.97E-01
209.61,4.97E-01
210.12,4.97E-01
210.63,4.97E-01
211.14,4.96E-01
211.65,4.96E-01
212.16,4.96E-01
212.67,4.96E-01
213.18,4.96E-01
213.69,4.96E-01
214.2,4.96E-01
214.71,4.96E-01
215.22,4.95E-01
215.73,4.95E-01
216.24,4.95E-01
216.75,4.95E-01
217.26,4.95E-01
217.77,4.95E-01
218.28,4.95E-01
218.79,4.94E-01
219.3,4.94E-01
219.81,4.94E-01
220.32,4.94E-01
220.83,4.94E-01
221.34,4.94E-01
221.85,4.94E-01
222.36,4.94E-01
222.87,4.93E-01
223.38,4.93E-01
223.89,4.93E-01
224.4,4.93E-01
224.91,4.93E-01
225.42,4.93E-01
225.93,4.93E-01
226.44,4.93E-01
226.95,4.92E-01
227.46,4.92E-01
227.97,4.92E-01
228.48,4.92E-01
228.99,4.92E-01
229.5,4.92E-01
230.01,4.92E-01
230.52,4.91E-01
231.03,4.91E-01
231.54,4.91E-01
232.05,4.91E-01
232.56,4.91E-01
233.07,4.91E-01
233.58,4.91E-01
234.09,4.91E-01
234.6,4.90E-01
235.11,4.90E-01
235.62,4.90E-01
236.13,4.90E-01
236.64,4.90E-01
237.15,4.90E-01
237.66,4.90E-01
238.17,4.90E-01
238.68,4.89E-01
239.19,4.89E-01
239.7,4.89E-01
240.21,4.89E-01
240.72,4.89E-01
241.23,4.89E-01
241.74,4.89E-01
242.25,4.89E-01
242.76,4.88E-01
243.27,4.88E-01
243.78,4.88E-01
244.29,4.88E-01
244.8,4.88E-01
245.31,4.88E-01
245.82,4.88E-01
246.33,4.88E-01
246.84,4.87E-01
247.35,4.87E-01
247.86,4.87E-01
248.37,4.87E-01
248.88,4.87E-01
249.39,4.87E-01
249.9,4.87E-01
250.41,4.87E-01
250.92,4.86E-01
251.43,4.86E-01
251.94,4.86E-01
252.45,4.86E-01
252.96,4.86E-01
253.47,4.86E-01
253.98,4.86E-01
254.49,4.86E-01
255,4.85E-01
255.51,4.85E-01
256.02,4.85E-01
256.53,4.85E-01
257.04,4.85E-01
257.55,4.85E-01
258.06,4.85E-01
258.57,4.85E-01
259.08,4.85E-01
259.59,4.84E-01
260.1,4.84E-01
260.61,4.84E-01
261.12,4.84E-01
261.63,4.84E-01
262.14,4.84E-01
262.65,4.84E-01
263.16,4.84E-01
263.67,4.83E-01
264.18,4.83E-01
264.69,4.83E-01
265.2,4.83E-01
265.71,4.83E-01
266.22,4.83E-01
266.73,4.83E-01
267.24,4.83E-01
267.75,4.82E-01
268.26,4.82E-01
268.77,4.82E-01
269.28,4.82E-01
269.79,4.82E-01
270.3,4.82E-01
270.81,4.82E-01
271.32,4.82E-01
271.83,4.82E-01
272.34,4.81E-01
272.85,4.81E-01
273.36,4.81E-01
273.87,4.81E-01
274.38,4.81E-01
274.89,4.81E-01
